base_name,fuel,capacity_mw,planned_year
A Lin,TĐ,62,2018
An Khê #1,Điện sinh khối,55,2017
An Khê #2,Điện sinh khối,55,2018
Bá Thước 1,TĐ,60,2016
"Bác Ái #1,2",TĐ,2x300,2023
"Bác Ái #3,4",TĐ,2x300,2025
Bạc Liêu giai đoạn III,Điện gió,142,2018
Bạc Liêu I #1 (*),NĐ,600,2029
Bạc Liêu I #2 (*),NĐ,600,2030
Bắc Mê,TĐ,45,2016
Băn Mống (Sống Hiều),TĐ,60,2022
Bảo Lâm 3,TĐ,46,2019
"Cẩm Phả III #1,2",NĐ,2x220,2020
Chi Khê,TĐ,41,2017
Công Thanh,NĐ,600,2020
Đa Nhim mở rộng,TĐ,100,2018
Đăk Mi 1,TĐ,54,2018
Đăk Mi 2,TĐ,98,2016
Đăk Mi 3,TĐ,45,2016
Đăk Re,TĐ,60,2022
Đồn Dương #1,TĐ,300,2030
Đồng Phù Yên #1,TĐ,300,2028
Đồng Phù Yên #2,TĐ,300,2029
Đồng Phù Yên #3,TĐ,300,2030
Dung Quất I,TBKHH,750,2023
Dung Quất II,TBKHH,750,2024
"Duyên Hải II #1,2",NĐ,2x600,2021
Duyên Hải III #1,NĐ,600,2016
Duyên Hải III #2,NĐ,600,2017
Duyên Hải III mở rộng,NĐ,660,2019
Formosa Đồng Nai #3,NĐ,150,2016
Formosa Hà Tĩnh #10,NĐ,150,2020
Formosa Hà Tĩnh #2,NĐ,150,2016
"Formosa Hà Tĩnh #3,4",NĐ,2x100,2016
Formosa Hà Tĩnh #5,NĐ,150,2016
"Formosa Hà Tĩnh #6,7",NĐ,2x150,2020
"Formosa Hà Tĩnh #8,9",NĐ,2x100,2020
Hải Dương #1,NĐ,600,2020
Hải Dương #2,NĐ,600,2021
Hải Hà 1,NĐ,3x50,2019
Hải Hà 2,NĐ,5x150,2022
Hải Hà 3,NĐ,2x300,2025
Hải Hà 4,NĐ,2x300,2028
Hải Phòng III #1,NĐ,600,2025
Hải Phòng III #2,NĐ,600,2026
Hanbaram,Điện gió,117,2020
Hòa Bình mở rộng #1,TĐ,240,2021
Hòa Bình mở rộng #2,TĐ,240,2022
Hồi Xuân,TĐ,102,2018
Huội Quảng #2,TĐ,260,2016
Huối Tạo,TĐ,180,2030
Ialy mở rộng,TĐ,360,2020
KCP #1,NMĐ sinh khối,30,2016
KCP #2,NMĐ sinh khối,30,2018
Khai Long (Cà Mau),Điện gió,100,2018
Kiên Giang I,TBKHH,750,2021
Kiên Giang II,TBKHH,750,2022
La Ngâu,TĐ,36,2018
"Lai Châu #2,3",TĐ,2x400,2016
Lee&Man,NĐ sinh khối,125,2018
Long An I #1,NĐ,600,2024
Long An I #2,NĐ,600,2025
Long An II #1,NĐ,800,2026
Long An II #2,NĐ,800,2027
Long Phú I #1,NĐ,600,2018
Long Phú I #2,NĐ,600,2019
Long Phú II #1,NĐ,660,2021
Long Phú II #2,NĐ,660,2022
Long Phú III #1,NĐ,600,2021
"Long Phú III #2,3",NĐ,2x600,2022
Long Sơn #1,NĐ hóa dầu,75,2017
"Long Sơn #2,3",NĐ hóa dầu,2x75,2018
Lông Tạo,TĐ,42,2017
Lục Nam #1,NĐ,50,2022
Lục Nam #2,NĐ,50,2023
Miền Trung I,TBKHH,750,2023
Miền Trung II,TBKHH,750,2024
Miền Trung III (nếu khi cho hóa dầu không khả thi),TBKHH,750,2026
Mỹ Lý,TĐ,250,2021
Na Dương II,NĐ,110,2019
"Nậm Củm 1,4,5",TĐ,65,2019
"Nậm Củm 2,3,6",TĐ,54,2020
Nam Định I #1,NĐ,600,2021
Nam Định I #2,NĐ,600,2022
Nậm Mô (Láo),TĐ,72,2026
Nậm Mô (Việt Nam),TĐ,95,2020
Nậm Na 3,TĐ,84,2016
Nậm Phà 5,TĐ,35,2020
Nậm Toóng,TĐ,34,2016
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,260,2016
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,360,2017
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,520,2018
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,450,2019
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,470,2020
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,790,2021
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,1200,2022
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,1000,2023
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,1200,2024
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,1800,2025
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,2160,2026
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,2910,2027
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,3240,2028
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,3350,2029
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,3530,2030
Nghi Sơn II #1,NĐ,600,2021
Nghi Sơn II #2,NĐ,600,2022
Nhạn Hạc,TĐ,59,2016
Nho Quế 1,TĐ,32,2016
Nho Quế 2,TĐ,48,2016
Ninh Thuận I #1,Điện hạt nhân,1200,2028
Ninh Thuận I #2,Điện hạt nhân,1200,2029
Ninh Thuận II #1,Điện hạt nhân,1100,2029
Ninh Thuận II #2,Điện hạt nhân,1100,2030
Ô Môn II,TBKHH,750,2026
Ô Môn III,TBKHH,750,2020
Ô Môn IV,TBKHH,750,2021
Pắc Ma,TĐ,140,2019
Phú Thọ,TĐ,105,2023
Quảng Ninh III #1,NĐ,600,2029
Quảng Ninh III #2,NĐ,600,2030
Quảng Trạch I #1,NĐ,600,2021
Quảng Trạch I #2,NĐ,600,2022
Quảng Trạch II #1,NĐ,600,2028
Quảng Trạch II #2,NĐ,600,2029
Quảng Trị #1,NĐ,600,2023
Quảng Trị #2,NĐ,600,2024
Quỳnh Lập I #1,NĐ,600,2022
Quỳnh Lập I #2,NĐ,600,2023
Quỳnh Lập II #1,NĐ,600,2026
Quỳnh Lập II #2,NĐ,600,2027
Rạng Đông,NĐ,100,2025
Sêkaman 1 (Lào),TĐ,290,2016
Sêkaman 4 (Lào),TĐ,80,2018
Sêkaman Xanxay (Lào),TĐ,32,2017
Sóc Trăng,Điện gió,99,2019
Sơn Mỹ I #1,TBKHH,750,2026
Sơn Mỹ I #2,TBKHH,750,2027
Sơn Mỹ I #3,TBKHH,750,2028
Sơn Mỹ II #1,TBKHH,750,2023
Sơn Mỹ II #2,TBKHH,750,2024
Sơn Mỹ II #3,TBKHH,750,2025
Sông Bung 2,TĐ,100,2016
"Sông Hậu I #1,2",NĐ,2x600,2019
Sông Hậu II #1,NĐ,1000,2021
Sông Hậu II #2,NĐ,1000,2022
Sông Lô 6,TĐ,44,2018
Sông Miện 4,TĐ,38,2018
Sông Tranh 3,TĐ,62,2016
Sông Tranh 4,TĐ,48,2016
Tân Phước I #1,NĐ,600,2027
Tân Phước I #2,NĐ,600,2028
Tân Phước II #1 (*),NĐ,600,2028
Tân Phước II #2 (*),NĐ,600,2029
Thác Mơ mở rộng,TĐ,75,2017
"Thái Bình I #1,2",NĐ,2x300,2017
Thái Bình II #1,NĐ,600,2017
Thái Bình II #2,NĐ,600,2018
Thăng Long #1,NĐ,300,2018
Thăng Long #2,NĐ,300,2019
Thiên Tân 1,Điện mặt trời,300,2019
Thiên Tân 2,Điện mặt trời,400,2020
Thiên Tân 3,Điện mặt trời,300,2021
"Thượng KonTum #1,2",TĐ,2x110,2019
Trà Khúc 1,TĐ,36,2017
Trị An mở rộng,TĐ,200,2025
Trung - Nam,Điện gió,90,2019
"Trung Sơn #1,2",TĐ,2x65,2016
"Trung Sơn #3,4",TĐ,2x65,2017
Uông Bí ngừng phát điên,NĐ,105,2021
Vân Phong I #1,NĐ,660,2022
Vân Phong I #2,NĐ,660,2023
Vê Đan,NĐ than,60,2016
"Vĩnh Tân I #1,2",NĐ,2x600,2019
Vĩnh Tân III #1,NĐ,660,2022
"Vĩnh Tân III #2,3",NĐ,2x660,2023
"Vĩnh Tân IV #1,2",NĐ,2x600,2018
Vĩnh Tân IV mở rộng,NĐ,600,2019
Vũng Áng II #1,NĐ,600,2021
Vũng Áng II #2,NĐ,600,2022
Vũng Áng III #1,NĐ,600,2024
Vũng Áng III #2,NĐ,600,2025
Vũng Áng III #3 (*),NĐ,600,2029
Vũng Áng III #4 (*),NĐ,600,2030
Yên Sơn,TĐ,70,2017
